,Name,Company,Cosmetic_type,Recommendation_skin_type,Pimple_care,Recommendation_for_atopy,Price,Main_ingredient_1,Main_ingredient_2,Main_ingredient_3,Main_ingredient_4,Main_ingredient_5,Grade,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
12,비자 트러블 로션,이니스프리, lotion, oily,x,x,16000,부틸렌글라이콜,카프릴릭,나이아신아마이드,폴리글리세릴,실리카,0,https://www.innisfree.com/kr/ko/Main.do
13,수딩로션,제로이드, lotion, oily,x,x,30000,글리세린,카프릴릭,미리스토일,피토스테롤,비사보롤,4.2,https://www.zeroid.co.kr/web/
14,세라마이드 아토 로션,일리윤, lotion, dry,x,o,32900,글리세린,하이드로제네이티드쌀겨오일,사이클로헥사실록세인,세텔에텔헥사노에이트,부틸렌글라이콜,4.5,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
15,데일리 모이스처 바디로션,더마비, lotion, dry,x,o,35000,글리세린,부틸렌글라이콜,카프릴릭,세텔에텔헥사노에이트,포도씨오일,4.5,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
16,레드 플레미쉬 포 맨 올인원 플루이드,닥터지,all in one, normal,x,x,64000,나이아신아마이드,카프릴릴메티콘,다이프로필렌글라이콜,글리세린,카프릴릭,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
17,포 맨 1025 독도 올인원 플루이드,라운드랩,all in one, normal,x,x,24000,다이프로필렌글라이콜,카프릴릴메티콘,하이드로제네이티드폴리,카프릴릭,글리세린,4.6,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
18,어성초 레드스팟 여드름 미스트 토너,닥터올가,skin tonner, oily,o,x,29000,병풀추출물,티트리잎추출물,어성초추출물,글리세린,약모밀추출물,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
19,토니 랩 에이씨 컨트롤 토너,토니모리,skin tonner, oily,o,x,14000,병풀추출물,녹두싹추출물,글리세린,부틸렌글라이콜,나이아신아마이드,3.9,https://tonystreet.com/
20,비피다 시카 허브 토너,마녀공장,skin tonner,sensitive,o,x,38000,병풀추출물,티트리잎추출물,글리세린,부틸렌글라이콜,나이아신아마이드,4.6,https://www.manyo.co.kr/main/index.php
21,스네일비 하이콘텐트 로션,벤튼, lotion, normal,x,x,18600,부틸렌글라이콜,글리세린,나이아신아마이드,소듐하이알루로네이트,달팽이점액여과물,3.7,https://www.bentoncosmetic.com/index.html
22,블랙캐비어 로션,에이에이치씨, lotion, normal,x,x,36000,글리세린,부틸렌글라이콜,하이드로제네이티드폴리,나이아신아마이드,참마뿌리추출물,3.2,https://www.ahc.co.kr/shop/main
23,레드수딩 ai 로션,피지오겔, lotion, dry,x,x,22500,올리브오일,글리세린,펜틸렌글라이콜,스쿠알란,베타인,4.2,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
24,인텐시브 로션,제로이드, lotion, dry,x,x,36000,글리세린,프로판다이올,카프릴릭,올리브오일,폴리글리세릴,4.2,https://www.zeroid.co.kr/web/
25,아토로션,시드물, lotion, dry,x,o,7800,글리세린,부틸렌글라이콜,카프릴릭,해바라기씨오일,스쿠알란,4.1,http://www.sidmool.com/
26,어린 새싹 클린 토너,수이스킨,skin tonner, dry,o,x,20000,병풀추출물,밀싹추출물,녹차추출물,글리세린,보리잎추출물,4.5,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
27,하이드라비오 에센스로션,바이오더마, lotion, normal,x,x,33000,나이아신아마이드,피피지,소듐피씨에이,살리실릭애씨드,만니톨,4.2,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
28,자작나무 수분 토너,라운드랩,skin tonner, dry,x,x,24000,글리세린,펜틸렌글라이콜,자작나무수액,사탕수수추출물,소듐하이알루로네이트,4.4,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
29,아크바이 로션,시드물, lotion,sensitive,o,x,6800,알로에베라잎즙,글리세린,해바라기씨오일,부틸렌글라이콜,세테아릴올리베이트,3.8,http://www.sidmool.com/
30,닥터트럽 마일드 로션,시드물, lotion, oily,o,x,16800,티트리잎수,병풀추출물,프로판다이올,글리세린,카프릴릭,3.8,http://www.sidmool.com/
31,egf 리페어 로션,닥터앤코, lotion, oily,o,x,26000,알로에베라잎추출물,녹차추출물,글리세린,부틸렌글라이콜,포도씨오일,4.3,https://www.drnco.co.kr/index.html
32,포 맨 퍼펙트 올인원,아크네스,all in one, normal,o,x,27000,작약나무껍질,병풀추출물,글리세린,사이클로헥사실록세인,무화과추출물,4.2,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
33,맨 올데이 퍼펙트 올인원,아이오페,all in one, normal,x,x,38000,글리세린,알코올,베타인,나이아신아마이드,실리카,3.8,https://www.iope.com/kr/ko/index.html
34,레드 블레미쉬 클리어 수딩 토너,닥터지,skin tonner, dry,o,x,62000,다이프로필렌글라이콜,병풀추출물,부틸렌글라이콜,글리세린,나이아신아마이드,4.3,https://www.oliveyoung.co.kr/store/main/main.do?oy=0
